R,G,B
18,27,31
33,23,29
50,27,25
48,32,19
42,45,30
24,30,25
24,16,17
30,14,8
41,39,15
28,43,15
27,42,28
15,20,23
4,23,38
36,46,46
11,19,8
14,30,23
11,33,31
13,29,22
34,45,25
29,44,23
2,28,14
17,47,36
13,32,17
18,28,16
19,30,34
1,15,33
19,28,42
37,36,40
51,10,38
48,17,24
53,39,21
43,40,12
20,26,3
28,37,24
33,43,43
10,18,31
19,23,41
21,25,30
23,29,10
41,47,12
48,45,17
35,18,15
37,11,29
52,21,50
37,43,32
27,32,23
29,31,25
25,27,21
25,27,21
35,37,31
38,36,35
32,29,31
30,25,34
33,26,39
42,32,48
39,29,46
26,16,33
20,10,27
26,14,34
32,20,40
52,30,19
56,31,35
54,30,42
35,20,24
35,26,22
44,37,40
41,32,45
37,29,39
35,32,24
28,25,11
40,31,28
49,35,41
40,26,27
40,29,21
43,27,28
26,5,20
16,10,15
22,29,22
21,39,22
29,43,25
40,39,29
46,38,31
47,47,35
37,47,30
31,41,28
35,30,29
31,14,23
36,25,28
44,48,42
40,50,37
36,37,28
46,34,34
37,44,23
38,41,26
25,22,17
15,10,7
25,17,18
31,22,25
34,29,28
45,45,31
35,40,19
29,30,26
42,37,58
31,26,53
23,24,34
23,30,23
14,16,16
25,22,38
42,30,26
42,38,33
46,52,41
37,50,28
29,39,16
28,27,17
25,16,19
24,19,21
11,14,12
35,39,44
17,15,35
28,23,38
42,42,28
30,43,11
38,55,34
19,36,39
23,20,0
15,19,0
25,35,23
40,47,32
35,34,13
36,32,8
44,44,28
32,36,30
31,33,27
44,36,23
45,31,12
39,29,12
33,31,23
24,28,22
27,27,15
39,34,13
45,33,33
32,27,26
19,24,22
18,29,26
0,14,10
28,37,34
29,34,32
27,28,26
43,39,38
54,44,44
40,26,27
35,17,18
40,24,25
36,26,26
30,28,27
27,32,30
16,34,33
27,35,24
38,40,20
19,30,10
14,27,19
32,33,37
39,26,34
40,30,36
24,29,32
27,36,39
27,25,25
27,21,14
33,39,22
28,41,27
25,27,28
32,16,33
37,50,12
20,30,17
22,25,33
30,31,35
24,25,16
23,30,23
32,40,47
23,26,40
39,31,41
50,38,44
41,32,42
26,18,28
31,26,25
43,37,30
32,34,35
24,33,47
11,27,44
15,16,37
29,13,36
35,10,30
49,25,37
46,23,27
42,21,19
38,26,20
35,42,35
18,45,36
1,32,23
18,32,26
43,36,33
35,18,21
23,15,22
28,30,40
24,35,25
22,35,27
24,39,35
3,17,15
12,19,22
40,36,41
43,29,31
64,43,42
57,37,32
50,40,30
27,30,15
23,36,22
31,48,37
25,41,34
23,33,33
33,38,41
56,31,35
43,35,28
33,37,25
27,25,17
33,24,27
38,38,44
25,39,37
19,33,22
40,38,30
50,38,38
35,29,34
25,26,24
36,32,21
48,35,21
45,35,25
40,41,37
29,29,29
24,29,14
20,26,9
29,30,34
37,34,60
26,25,51
17,19,29
23,28,26
39,43,38
32,37,28
42,49,34
33,39,28
15,11,22
28,19,45
23,17,40
32,33,43
29,44,36
10,27,16
4,21,12
22,28,27
30,23,26
40,22,23
56,36,31
58,39,34
50,38,38
26,22,21
19,23,12
25,28,13
41,40,30
19,20,18
23,32,29
22,41,32
28,33,34
36,35,31
40,40,28
29,39,23
31,45,34
19,27,27
25,27,35
35,43,43
19,40,31
0,22,8
14,27,19
18,21,25
17,18,28
36,39,47
38,38,38
38,29,25
36,17,34
41,28,30
38,34,23
34,36,17
33,39,22
31,37,26
25,30,29
24,23,39
34,28,53
38,35,44
31,33,13
33,40,7
37,37,19
27,20,25
32,21,37
48,37,53
38,35,50
29,27,33
32,34,28
35,39,28
31,33,27
37,36,40
41,38,47
38,34,40
32,30,29
31,30,26
39,34,35
45,37,48
41,31,48
36,28,39
37,32,33
39,38,28
26,17,13
36,27,30
34,26,33
24,18,23
31,29,29
33,32,36
25,21,32
33,31,37
31,30,26
29,30,21
41,38,34
41,39,39
35,33,32
44,46,40
45,48,46
25,24,33
24,21,30
29,38,35
28,45,32
28,38,25
26,23,18
31,26,23
40,44,33
35,45,28
48,52,40
38,30,30
25,13,19
28,22,23
40,41,32
38,41,26
32,30,20
37,28,24
29,30,21
25,25,19
35,34,24
40,40,24
36,32,21
39,28,36
48,35,51
44,38,39
41,43,23
32,36,17
37,35,41
32,26,51
32,28,47
33,32,34
22,23,21
31,30,34
45,43,25
25,29,18
16,28,22
25,39,35
33,40,37
30,25,26
28,20,20
32,29,21
23,27,16
17,20,18
31,27,33
46,37,34
39,32,13
35,31,7
35,36,34
32,33,54
20,27,0
38,41,25
50,51,41
44,46,34
35,40,19
41,47,24
48,48,34
41,35,30
38,31,28
33,27,16
24,20,2
29,23,10
44,35,31
45,38,35
33,31,21
25,27,8
51,33,32
47,42,39
25,35,29
10,31,23
10,28,21
33,43,37
27,31,26
31,32,28
34,35,31
41,40,36
43,34,31
45,28,25
45,28,25
41,32,28
32,39,32
25,44,35
21,35,29
33,42,29
32,37,16
29,37,20
24,30,25
28,27,31
46,36,42
37,31,32
33,38,36
31,36,37
16,15,17
35,32,28
55,59,47
37,47,34
25,27,27
30,20,32
20,38,9
18,33,25
28,33,48
30,24,49
20,10,27
25,22,31
34,40,51
26,35,55
17,18,44
24,14,31
43,29,30
40,27,19
28,19,15
33,30,32
25,29,34
15,24,27
38,40,40
35,26,36
43,24,43
42,22,45
41,28,44
34,25,35
42,35,40
47,41,52
27,29,47
12,24,42
3,17,29
28,29,33
48,37,33
33,21,17
19,21,21
22,37,40
30,34,22
20,26,15
