R,G,B
20,41,26
19,39,34
9,29,24
23,46,31
15,36,21
24,37,35
25,32,35
9,15,10
11,19,2
21,24,9
13,12,8
33,32,42
49,41,48
41,35,36
33,37,32
30,40,40
31,33,44
42,35,50
48,44,49
19,24,23
30,32,40
37,23,47
45,26,45
52,49,44
37,50,24
24,33,12
37,33,28
64,37,53
46,27,42
31,27,33
32,40,29
32,40,23
36,27,23
45,21,33
42,20,32
36,33,28
24,37,23
38,47,44
51,41,54
43,17,35
41,20,28
34,41,34
12,39,23
42,40,30
50,51,42
35,36,32
36,31,33
51,33,40
58,34,36
61,40,32
43,35,22
28,35,28
11,26,29
6,25,30
31,47,40
41,55,37
28,39,23
24,36,36
33,44,58
33,45,63
34,46,56
54,67,65
48,58,46
35,42,29
42,42,36
39,34,35
42,40,40
36,40,35
35,42,37
37,48,45
36,47,45
29,37,37
32,31,40
44,32,54
48,31,64
32,38,27
39,39,39
58,51,58
51,43,43
52,43,33
61,54,45
55,48,45
55,54,50
49,57,46
53,64,54
53,64,62
56,63,66
64,71,68
73,75,69
79,73,74
82,69,83
63,75,77
62,72,79
60,69,79
60,69,79
65,74,83
76,84,91
82,91,94
85,93,93
88,95,92
99,108,98
100,108,97
98,104,93
104,108,97
108,109,99
103,103,91
97,97,83
83,90,83
80,80,74
80,75,74
80,74,75
66,66,66
54,62,61
52,65,63
54,65,63
41,43,43
40,38,38
54,54,54
41,46,45
41,47,46
44,50,45
45,42,37
54,46,39
37,41,36
45,43,43
42,36,41
42,38,44
40,39,48
31,37,44
31,39,46
31,36,39
48,46,45
54,49,46
35,31,30
40,42,42
31,37,36
11,19,18
30,35,38
30,29,38
23,30,39
24,30,35
34,37,41
43,43,49
31,24,37
32,24,34
37,36,32
42,48,29
38,52,24
31,46,19
33,49,26
31,45,27
40,50,37
44,50,45
33,32,42
34,26,49
42,49,22
25,22,17
14,4,20
27,17,33
32,26,27
37,33,28
48,41,38
32,24,25
20,14,9
36,34,23
36,34,26
37,30,37
33,25,42
35,29,46
44,43,47
26,30,24
31,30,39
41,42,38
38,37,27
37,28,24
38,24,25
47,35,29
49,42,27
28,26,15
33,33,33
30,33,37
25,35,29
31,40,30
35,41,36
35,32,34
34,29,26
37,31,18
31,25,44
35,30,45
46,42,53
39,38,42
37,36,38
37,37,37
26,25,27
35,35,41
33,32,42
26,23,38
15,12,28
18,16,28
35,34,43
34,36,37
44,48,43
48,53,44
18,26,26
33,31,31
45,38,41
48,44,55
39,42,50
37,39,33
41,41,23
42,41,31
26,31,40
26,30,48
16,18,26
39,39,33
26,30,24
17,25,25
37,40,44
44,37,40
45,41,53
26,22,33
25,21,32
32,27,42
37,32,47
37,33,44
33,30,39
40,35,50
29,24,45
41,38,53
25,27,28
16,18,19
36,34,46
36,31,52
25,24,34
40,44,39
34,30,35
32,27,42
27,24,40
24,28,29
30,40,28
32,41,38
37,37,53
38,33,54
25,23,29
18,17,7
30,30,16
27,26,16
29,30,20
44,49,40
31,35,36
18,20,31
34,31,40
29,25,37
29,28,38
38,42,43
35,43,36
10,20,14
5,13,13
24,32,32
28,37,34
26,32,31
34,36,44
39,35,46
30,26,32
38,33,32
46,38,39
30,20,26
26,21,42
41,33,44
51,44,47
39,42,46
32,43,47
34,40,39
32,33,24
38,38,32
33,36,40
32,31,40
39,30,33
52,39,37
48,43,42
29,32,30
27,27,21
39,33,20
54,28,28
22,13,23
25,35,45
34,51,47
39,44,29
38,20,19
29,3,21
35,24,40
26,37,29
22,41,14
42,49,28
54,42,42
41,23,36
31,24,29
27,38,30
23,44,29
42,32,49
43,36,43
33,29,24
47,40,31
61,45,39
54,32,27
52,34,23
44,37,20
47,51,39
22,34,34
18,30,40
35,46,54
34,46,46
31,43,37
34,47,45
30,42,48
23,27,55
30,39,49
51,59,52
35,40,31
29,27,26
51,46,47
53,54,45
54,59,44
45,51,40
39,45,40
33,39,34
34,44,28
41,53,31
38,48,32
33,36,40
34,32,51
49,53,34
55,51,50
50,41,51
43,37,38
44,41,27
49,49,31
54,54,40
48,52,41
54,62,52
60,66,65
58,64,71
58,63,72
66,71,72
73,75,75
74,68,85
75,61,97
58,64,75
67,74,83
69,77,84
64,72,79
64,72,79
73,81,88
83,89,94
84,92,91
91,98,93
99,107,100
101,109,99
99,105,94
103,107,95
110,112,100
107,107,101
100,99,95
82,86,87
87,86,88
85,80,82
79,74,76
70,71,75
54,63,67
45,57,63
50,59,68
62,63,73
53,50,59
55,53,59
50,53,57
49,54,55
56,58,59
44,37,40
56,42,48
57,35,54
36,24,30
32,33,23
36,43,28
40,46,35
41,41,35
37,34,29
42,40,39
35,37,38
32,35,40
29,31,32
40,43,34
43,47,35
31,40,27
24,39,31
17,37,32
26,32,13
29,32,23
39,42,46
35,37,47
30,36,43
36,42,47
46,51,54
34,36,36
26,30,18
47,52,25
34,41,8
36,43,16
39,42,33
31,33,41
37,40,54
23,28,43
35,41,24
25,23,22
25,21,27
46,42,41
47,46,36
43,38,35
46,38,45
30,20,26
33,31,21
39,38,24
39,34,33
47,39,49
40,36,41
31,32,28
39,38,40
32,29,44
28,30,30
33,37,26
46,45,31
37,28,24
34,20,22
43,31,27
41,34,19
27,26,12
23,25,19
36,42,37
22,32,20
16,28,10
34,39,30
39,37,37
39,34,33
48,41,32
30,22,39
33,26,41
43,38,47
36,32,37
30,28,28
28,28,28
26,25,27
38,36,42
33,29,41
23,20,35
30,27,43
24,21,36
27,26,36
35,36,40
45,48,46
47,51,45
7,21,17
17,22,13
25,22,17
34,36,36
39,46,43
39,45,28
46,47,21
40,42,22
38,45,42
22,31,35
28,31,29
24,27,12
23,30,17
36,46,40
29,34,32
35,30,27
30,29,25
23,22,18
31,29,29
31,28,37
36,34,40
32,33,29
17,20,11
27,25,31
28,21,42
19,17,29
30,34,28
44,51,38
44,43,52
33,27,50
26,25,35
34,41,28
38,28,40
33,25,42
29,26,42
29,36,39
24,38,34
4,16,22
12,18,37
33,33,49
39,39,39
40,38,28
32,26,21
43,36,33
42,42,30
31,36,21
36,41,40
31,33,51
29,20,41
33,25,42
29,22,35
34,26,36
39,33,38
23,17,18
15,7,7
32,23,26
46,33,41
48,34,46
38,24,36
38,23,37
47,30,44
43,26,40
42,25,38
43,28,36
26,24,44
27,17,33
39,28,44
32,32,46
25,36,40
25,35,23
25,27,8
40,39,29
36,38,39
21,25,19
37,36,15
55,48,28
33,25,26
23,17,36
45,37,47
50,42,29
48,33,17
25,24,26
28,44,56
19,38,41
31,32,28
55,38,42
45,25,44
41,39,51
33,50,36
35,54,21
50,55,26
49,43,30
41,37,32
40,47,40
36,48,42
34,45,43
35,33,63
15,16,26
35,38,23
51,50,29
47,38,28
47,33,34
46,34,32
51,45,34
40,40,28
32,32,32
35,36,50
43,44,65
33,36,50
35,40,43
48,53,51
43,47,42
28,32,43
36,41,39
48,49,39
36,31,28
37,27,33
52,47,46
48,51,35
37,46,25
44,52,41
42,44,44
35,37,31
37,43,20
45,56,24
42,55,29
31,46,32
26,42,35
53,50,35
59,51,51
49,40,50
50,45,47
49,50,40
47,51,39
53,57,51
44,49,47
53,58,56
58,61,65
58,58,70
58,58,72
63,67,72
67,72,73
66,67,81
67,62,93
69,70,90
70,74,85
67,75,75
64,72,72
72,78,83
84,89,98
85,91,96
78,86,85
94,101,96
94,101,98
98,104,99
104,112,102
106,113,98
104,108,97
101,101,101
101,97,108
88,91,99
93,94,98
88,83,85
76,74,74
72,76,77
60,71,75
51,64,72
60,68,81
64,65,79
62,58,70
46,44,50
47,51,52
57,63,62
55,57,58
37,29,36
65,49,60
73,37,83
49,35,41
41,52,20
33,50,17
35,43,33
48,43,44
43,37,30
40,40,26
34,37,35
35,36,50
39,36,51
36,32,27
44,45,19
53,58,31
35,47,35
24,41,44
43,50,13
40,45,24
33,37,32
20,25,26
31,42,39
32,43,40
34,40,45
33,30,45
33,25,35
51,45,38
43,39,20
34,31,16
34,30,29
27,27,33
26,33,36
18,32,26
25,27,28
22,25,23
29,33,21
43,48,27
39,42,27
31,26,27
32,22,34
29,22,25
58,55,47
34,30,25
26,20,25
19,16,18
27,30,15
38,44,25
27,28,32
22,14,45
42,39,35
40,40,28
55,53,42
38,30,30
27,13,24
34,23,26
42,36,29
48,46,36
26,25,21
49,51,45
31,38,23
15,24,4
33,36,27
39,35,40
39,32,39
51,46,47
37,30,37
35,29,34
25,20,22
36,33,35
34,32,32
20,18,18
33,30,32
36,35,39
36,34,40
33,30,39
52,51,60
40,40,46
30,31,35
32,34,35
29,34,33
22,27,25
18,30,36
25,31,26
30,31,21
24,28,22
25,32,29
31,34,25
35,33,15
36,35,21
19,25,20
17,25,24
27,31,25
19,17,9
28,30,30
38,47,51
29,33,34
22,20,12
23,29,6
38,41,26
34,33,29
21,18,20
23,22,18
21,26,11
16,22,3
22,25,16
34,32,38
13,9,20
40,39,43
52,56,50
27,33,22
20,24,18
29,31,32
30,30,36
28,27,36
19,19,33
15,13,32
29,31,42
42,46,57
23,25,43
22,23,43
27,31,36
21,30,17
39,46,33
31,30,34
38,35,44
36,36,30
24,27,11
45,43,42
54,46,63
22,24,48
31,35,46
29,32,36
26,25,29
34,28,33
39,30,27
34,24,14
34,20,14
50,29,37
53,33,46
38,21,30
40,26,30
49,38,48
43,33,49
43,37,48
48,48,48
24,27,31
38,30,40
39,29,42
22,22,34
19,29,36
36,42,41
43,39,38
35,32,28
37,41,35
36,42,25
47,44,23
56,46,28
37,29,22
26,23,25
41,36,38
43,31,31
32,32,18
18,22,23
28,37,47
29,40,44
32,41,38
43,43,43
33,29,34
31,34,32
53,65,47
29,43,19
38,45,30
52,53,43
44,49,28
29,43,15
21,36,22
29,41,45
23,46,54
8,28,23
28,41,25
41,45,33
36,34,34
38,32,43
38,33,42
45,40,39
42,32,32
49,33,44
49,32,53
41,30,50
26,24,30
28,26,25
53,43,43
63,46,50
42,50,33
46,49,33
48,42,37
48,32,43
50,33,46
45,38,35
31,37,20
22,30,19
30,32,40
42,37,52
53,48,50
50,48,37
43,44,34
41,48,43
32,51,42
19,47,28
36,26,19
43,32,34
46,39,44
50,50,50
49,55,50
45,52,55
50,53,68
51,51,67
53,56,61
58,59,63
58,56,68
59,56,72
62,65,73
64,72,71
61,74,72
64,76,82
72,68,93
74,74,86
75,82,79
76,83,80
79,84,87
83,85,95
86,89,97
87,93,92
95,102,99
91,97,96
96,102,101
107,114,107
107,117,101
103,109,98
99,99,105
98,93,114
93,101,101
94,97,95
87,87,81
78,79,69
70,79,69
67,82,78
64,82,83
69,80,88
60,62,72
68,67,71
57,58,56
50,58,48
58,68,56
54,58,52
51,45,46
74,58,65
59,38,76
54,49,50
48,59,33
39,47,37
36,34,56
47,42,69
48,51,49
39,45,22
37,37,25
47,36,52
51,33,56
32,20,26
33,27,14
43,43,27
36,35,31
33,32,42
40,47,26
32,41,21
25,33,16
22,30,13
29,36,21
31,38,25
37,39,33
45,42,44
46,39,46
46,38,48
44,37,44
29,22,29
31,27,32
34,34,34
24,26,20
32,38,27
28,33,32
26,34,24
30,37,22
34,38,26
37,37,31
29,27,27
27,23,22
41,38,33
45,40,37
30,26,25
26,23,19
13,13,7
16,19,10
36,37,33
34,34,40
34,31,46
50,38,36
36,28,21
41,35,30
36,28,38
32,23,44
31,23,40
37,33,38
33,28,29
40,35,37
54,49,48
41,39,28
25,24,10
33,29,28
29,24,39
21,17,36
31,28,43
45,42,34
39,36,28
25,22,18
44,40,39
45,40,41
29,26,28
40,37,39
36,34,34
28,29,27
37,38,34
50,54,49
45,49,44
46,50,45
41,46,44
39,44,43
31,35,36
21,29,52
38,41,46
53,54,45
31,35,29
22,27,28
31,30,34
31,21,21
38,33,30
20,25,23
34,43,40
37,38,34
39,34,36
36,33,49
11,14,35
24,26,36
26,23,18
23,33,0
48,51,35
42,40,39
38,36,35
42,43,33
30,33,17
27,33,14
35,41,24
27,30,21
26,22,33
37,30,51
35,35,41
32,42,19
30,44,10
25,29,24
35,27,57
8,20,22
17,23,34
22,21,41
33,28,49
50,42,65
34,25,52
29,24,45
20,25,23
15,31,8
29,47,30
23,32,41
18,20,38
31,33,33
43,44,28
49,40,36
49,30,47
26,44,61
18,39,41
19,38,29
28,39,36
37,39,40
41,38,30
42,38,19
43,34,20
49,32,35
52,35,44
45,35,35
45,41,36
39,38,40
32,34,45
31,40,44
15,32,23
25,34,21
36,33,29
32,26,27
34,37,41
33,42,51
33,31,53
39,26,50
26,19,26
8,15,0
34,40,23
36,27,23
41,26,23
50,46,27
37,45,15
34,33,19
42,25,36
29,43,39
36,39,47
47,43,54
37,42,41
21,38,27
22,42,29
30,42,30
39,42,26
40,42,23
19,26,19
33,41,48
45,50,51
36,45,18
39,52,8
34,51,24
25,43,42
7,54,32
20,56,34
20,38,25
34,39,42
41,41,57
29,31,49
26,28,38
24,20,25
38,20,33
54,25,50
48,21,47
42,26,37
39,34,25
42,34,21
57,34,38
72,34,56
52,64,28
51,53,31
47,34,36
55,32,54
56,36,55
39,31,31
32,36,24
38,41,45
34,29,58
42,31,63
54,43,59
44,34,40
24,17,32
38,36,58
46,62,68
27,59,42
53,37,38
47,33,37
49,42,45
45,48,46
44,52,52
43,49,68
39,40,74
47,45,75
64,64,76
69,68,70
67,63,74
68,62,79
68,69,79
65,77,71
62,83,68
66,89,74
73,65,95
70,70,82
74,80,75
83,90,83
86,89,93
83,85,96
83,86,94
87,93,92
93,100,97
93,98,99
98,103,104
103,111,104
105,115,99
107,115,105
103,104,114
95,90,119
95,105,99
89,97,86
91,94,78
84,91,70
73,85,65
71,90,75
69,90,82
63,77,76
69,74,75
73,76,74
71,78,65
55,66,46
51,63,43
55,62,47
69,66,58
60,47,45
47,50,64
48,55,48
47,50,41
52,43,69
41,28,84
28,26,72
34,46,48
28,42,14
37,33,15
61,37,47
64,35,60
46,27,44
38,27,35
36,29,34
39,24,32
47,28,37
30,39,43
30,39,29
35,46,20
40,45,16
27,27,3
47,43,24
50,49,28
31,31,13
43,43,37
44,41,56
22,17,44
25,21,46
36,35,44
34,31,27
44,38,33
49,40,37
24,36,16
20,30,14
20,27,20
23,23,29
35,33,39
32,32,26
22,23,7
40,40,28
52,48,47
42,39,35
31,31,17
41,42,32
41,38,47
30,25,46
34,34,40
28,35,20
57,40,43
48,35,33
46,38,39
47,39,56
39,31,61
24,20,45
42,40,52
39,35,41
39,31,38
40,29,32
37,28,19
33,27,16
42,35,38
41,34,55
29,24,51
34,35,56
37,37,19
33,33,17
37,35,25
36,33,29
31,26,28
30,24,29
31,28,30
34,32,31
30,32,26
45,49,38
41,48,33
43,50,37
58,64,53
49,55,50
53,58,57
49,52,56
24,27,25
39,42,40
30,32,32
10,12,12
35,37,37
31,33,34
26,25,27
47,47,47
39,39,39
29,30,28
30,29,25
38,39,30
38,39,29
30,32,20
31,34,19
44,47,31
48,42,7
26,33,12
10,33,25
22,44,39
32,42,29
35,36,16
38,42,23
24,39,25
14,35,20
26,37,21
31,25,12
46,28,27
40,20,32
40,25,33
50,40,33
56,48,25
43,42,32
35,35,35
30,32,43
22,30,37
18,31,15
26,44,5
36,43,16
34,24,37
42,26,60
34,33,43
23,40,13
32,51,24
26,30,41
34,23,55
45,36,33
51,52,2
48,45,41
37,42,40
26,38,38
35,47,53
30,32,43
34,24,40
52,39,55
34,28,39
30,34,39
20,32,34
25,35,35
52,54,55
44,39,41
34,32,38
33,41,48
24,40,47
52,31,53
43,31,25
34,36,6
24,42,13
8,29,26
36,47,61
39,31,41
40,22,11
46,29,10
39,37,27
21,33,37
11,28,31
26,39,31
37,42,27
35,33,25
44,40,45
42,54,32
43,49,44
37,35,47
31,24,39
34,29,31
41,38,34
43,36,39
38,28,44
44,34,50
28,24,23
30,33,11
26,31,0
37,36,16
32,21,23
50,30,53
42,18,50
15,10,41
42,37,46
50,45,36
46,41,38
40,28,48
50,27,59
51,33,50
16,23,16
11,31,18
29,36,33
48,28,33
57,32,28
37,36,16
19,34,20
37,37,53
51,25,71
45,28,61
37,39,57
15,34,39
29,36,45
63,43,62
57,17,42
56,23,37
53,44,41
36,42,37
33,36,41
47,37,54
45,34,50
27,25,31
30,34,39
43,43,59
37,32,59
42,56,32
49,65,54
48,69,66
35,58,53
44,60,53
56,59,63
54,49,64
61,62,72
63,77,71
59,79,66
63,77,73
66,66,72
65,60,61
72,69,65
72,77,80
69,78,92
65,56,82
77,71,94
75,76,97
74,80,103
76,88,106
81,100,103
85,105,100
79,91,95
90,94,105
98,100,101
109,113,94
108,114,91
101,103,97
103,106,110
101,112,102
86,109,77
94,98,93
90,96,85
88,95,80
85,93,83
82,86,87
75,78,86
73,78,81
73,82,79
79,87,86
75,81,86
62,67,76
66,72,77
50,57,52
52,61,51
58,65,60
47,52,53
48,46,45
43,49,44
44,50,45
55,52,47
52,40,34
53,43,36
36,44,33
22,45,31
23,46,32
36,42,31
49,38,30
58,42,36
58,50,43
48,48,42
46,43,38
51,45,40
40,38,30
32,42,30
28,43,29
34,34,28
27,12,20
43,28,49
44,38,57
37,29,39
50,35,32
48,38,21
24,24,8
26,30,24
36,29,36
37,20,34
40,30,42
25,29,34
35,33,22
33,30,32
33,30,45
21,22,36
34,38,39
40,41,32
43,36,27
45,30,27
52,36,30
52,44,31
40,40,24
43,47,35
35,39,33
21,24,9
36,39,7
54,59,8
33,32,64
23,28,43
31,38,35
38,46,35
36,36,36
27,17,34
47,34,56
48,37,47
50,43,34
35,34,14
37,33,22
47,39,46
42,30,52
42,33,54
48,47,51
33,39,28
11,27,40
16,30,36
36,47,44
38,42,37
32,27,29
43,28,42
48,29,48
37,23,35
45,36,39
50,45,44
68,63,65
65,58,71
60,48,70
55,43,65
43,33,46
44,34,40
32,38,27
34,39,30
28,33,24
12,16,10
28,32,27
30,33,31
29,32,30
40,42,42
36,36,36
30,30,30
12,13,11
23,24,22
28,29,25
21,21,15
37,37,31
46,46,40
43,36,11
26,27,17
8,20,22
9,19,26
19,22,20
33,32,22
34,39,30
13,27,23
22,36,32
40,44,38
38,26,24
35,18,27
32,18,36
35,25,42
38,27,29
46,34,22
39,45,40
35,40,38
28,30,30
22,24,24
21,27,16
30,38,15
37,44,23
29,31,32
29,25,44
30,32,40
28,37,24
36,46,30
27,25,31
28,18,35
31,26,23
34,38,3
41,30,33
38,37,39
28,37,40
30,43,45
23,33,33
27,29,29
49,46,42
39,40,31
40,48,37
36,48,36
25,33,22
32,29,24
23,17,18
23,21,27
27,36,46
31,47,59
47,50,58
46,43,38
40,33,16
28,20,13
23,16,29
32,30,49
26,29,33
31,37,18
36,43,22
34,38,33
35,32,47
36,26,43
43,32,34
44,42,32
26,34,27
14,29,31
30,38,31
31,36,35
34,34,40
44,40,52
51,45,56
43,37,42
40,35,36
54,50,49
42,38,37
20,18,17
29,27,19
38,40,21
36,38,16
41,35,24
37,23,29
34,15,36
30,33,41
53,51,41
48,41,24
29,30,21
31,37,44
36,37,47
44,36,37
37,22,26
40,30,43
37,34,50
28,24,29
25,23,13
32,30,19
31,32,23
36,35,25
43,40,25
45,29,47
22,25,33
26,43,40
37,48,46
56,40,51
59,28,43
59,36,40
46,44,36
34,46,34
31,39,38
43,38,47
45,37,44
50,48,47
48,52,47
39,38,42
52,42,58
53,58,59
35,49,45
35,58,50
36,60,52
42,57,53
60,65,63
63,64,62
52,56,57
54,64,71
54,66,76
51,60,69
69,68,77
74,66,76
73,65,75
79,82,86
60,73,71
80,74,93
80,74,97
69,70,91
66,75,89
67,83,90
73,92,97
86,102,108
92,104,106
95,101,100
98,102,96
107,107,101
107,107,101
100,103,94
99,108,95
99,112,98
92,107,93
92,88,99
92,94,95
93,97,91
89,95,90
83,88,87
76,81,82
74,82,75
74,87,71
70,83,69
61,71,65
70,77,80
75,80,83
68,75,72
52,59,56
58,62,67
53,53,67
59,62,60
52,55,53
45,49,44
51,50,46
48,44,39
58,56,48
50,58,47
39,53,41
35,49,37
41,47,36
47,42,33
51,43,36
58,52,47
54,51,46
42,39,35
33,30,26
30,32,26
29,32,23
33,37,26
36,33,28
21,14,17
26,14,26
40,27,41
50,39,47
38,29,26
41,34,25
36,30,23
48,43,42
48,41,48
36,28,38
41,37,43
40,39,43
18,27,14
37,43,38
49,52,57
33,32,41
29,28,32
38,36,35
49,46,41
34,31,26
25,21,16
48,45,41
42,38,37
15,12,14
30,26,31
40,39,35
26,30,11
41,49,19
18,16,36
20,21,31
35,40,38
44,48,42
35,36,34
19,18,22
37,33,39
37,35,34
38,38,26
38,40,21
33,33,19
34,31,27
31,24,31
29,22,29
37,33,32
40,39,29
19,29,39
25,37,39
25,34,31
31,34,32
30,26,32
25,13,31
35,19,43
41,24,45
44,33,43
46,36,42
54,45,55
56,46,63
55,43,65
54,43,63
41,33,44
27,22,24
34,45,25
31,42,22
35,45,28
29,39,23
34,40,29
34,39,30
28,32,26
21,24,22
21,23,23
30,32,33
27,29,30
34,35,39
45,44,48
41,40,44
38,37,41
35,34,38
28,22,3
29,26,22
28,27,37
30,28,40
32,28,33
35,36,32
31,42,39
12,28,27
19,28,31
44,39,40
38,25,27
26,14,26
29,27,47
38,38,56
26,20,25
34,21,13
37,48,46
37,45,38
31,32,22
37,35,25
41,35,28
35,34,24
38,47,34
40,51,41
29,40,38
28,33,36
24,23,25
40,34,35
44,36,37
47,41,42
45,42,37
32,36,25
49,29,34
46,38,39
28,35,32
21,39,32
22,39,28
26,39,25
37,45,28
30,36,17
42,51,30
48,54,35
36,36,20
39,30,21
40,28,26
36,33,35
20,31,35
9,31,37
24,40,33
35,42,35
47,37,37
47,24,39
55,30,58
44,33,53
24,36,30
23,50,24
28,51,29
30,35,38
45,26,53
47,17,46
44,20,32
44,37,34
28,39,36
11,32,34
24,31,34
27,33,32
28,33,32
41,41,47
53,49,61
47,42,51
36,36,30
40,44,25
35,38,23
20,21,19
42,38,44
43,41,41
30,30,16
42,40,22
42,34,27
48,35,43
31,38,23
50,54,29
39,42,17
16,24,14
30,45,48
28,40,40
39,35,30
52,29,34
57,29,52
54,40,64
37,41,46
22,31,21
33,31,23
42,33,24
43,39,11
58,65,14
62,46,53
35,38,36
38,55,46
31,43,37
43,33,39
61,40,49
61,47,49
39,45,40
28,45,36
29,42,40
59,60,64
58,51,54
52,47,44
62,60,52
56,49,46
58,44,48
62,60,79
46,58,60
50,71,63
50,71,69
47,57,64
51,56,55
52,55,46
44,49,48
56,60,78
52,57,82
59,64,79
75,74,83
79,70,83
81,70,90
80,82,90
61,77,66
80,75,90
75,71,90
66,69,83
69,81,85
71,89,90
73,89,96
85,97,109
93,106,104
94,105,89
95,101,90
101,97,103
102,97,106
96,100,89
92,106,78
93,106,90
92,101,105
92,86,103
92,91,100
92,95,93
89,92,90
83,87,88
79,85,84
76,85,75
74,86,66
74,89,68
60,71,61
70,76,75
67,72,73
65,72,69
57,63,62
60,62,70
57,56,72
64,70,69
61,63,63
61,59,58
58,59,55
41,47,42
50,58,51
53,61,51
49,52,43
31,34,25
33,38,29
34,42,32
42,44,38
49,46,41
43,38,35
32,29,25
24,25,23
39,43,38
40,33,30
44,32,30
41,36,33
40,41,37
39,34,33
44,27,30
41,24,27
50,45,46
41,39,39
37,26,29
47,33,37
40,34,39
23,28,31
37,41,42
55,48,51
10,30,18
26,40,29
43,49,44
44,43,45
33,28,37
30,30,36
47,53,52
28,41,33
22,34,28
30,34,39
37,31,48
35,24,44
43,34,47
32,31,33
5,12,7
12,25,17
31,24,31
36,32,37
39,37,37
28,29,27
27,31,26
34,42,32
41,49,38
19,28,15
7,17,0
41,49,32
41,47,30
29,32,17
36,36,24
46,42,31
44,40,29
39,33,22
36,41,42
27,34,29
20,29,19
35,42,35
25,26,30
16,10,29
39,26,52
33,19,43
30,17,33
35,21,32
41,27,38
49,36,52
51,39,57
52,45,58
46,46,46
27,30,21
32,43,23
27,38,18
30,40,23
25,35,18
25,34,21
30,38,27
27,35,25
23,27,22
42,45,43
27,29,30
26,27,31
13,13,19
17,16,25
23,22,31
11,10,20
32,31,41
35,32,11
38,33,24
43,36,41
49,42,47
44,39,38
34,39,30
26,43,32
14,31,27
21,28,25
37,31,26
33,22,18
20,17,19
22,33,41
35,48,56
21,24,22
29,20,7
18,34,23
33,41,34
33,31,23
41,35,24
41,35,22
30,27,19
32,36,31
31,44,36
34,51,38
37,45,38
34,33,35
41,30,38
38,28,28
35,31,26
37,36,32
30,31,35
47,23,17
43,32,24
23,29,18
16,35,20
21,42,27
23,40,26
30,40,28
30,36,25
34,35,26
39,35,30
36,25,21
45,28,25
48,33,30
51,47,42
35,49,38
23,49,36
29,32,16
32,36,25
32,33,37
34,27,48
40,27,53
38,30,41
30,39,26
38,56,27
29,41,23
36,31,40
44,25,52
34,15,40
28,21,28
36,40,34
39,44,42
42,42,48
30,42,36
26,37,29
28,35,30
35,39,40
40,41,45
41,41,41
35,39,27
28,35,14
25,30,15
22,24,24
49,45,57
31,26,41
19,15,21
30,26,25
48,41,38
47,40,37
23,25,5
31,45,21
30,49,30
24,32,31
49,45,64
38,31,52
37,34,43
47,44,39
41,31,24
52,39,41
54,45,55
36,35,39
35,33,25
44,37,20
48,38,20
64,56,39
60,45,49
49,49,49
37,49,49
19,28,31
43,35,45
66,49,63
63,53,66
45,52,61
33,49,56
26,36,46
44,44,56
54,45,55
59,49,55
77,66,68
74,57,60
58,36,41
56,57,67
52,61,64
42,58,57
42,58,65
60,67,82
64,64,76
58,56,62
56,58,66
60,65,80
48,55,70
74,82,89
75,76,80
71,63,74
80,72,89
69,69,81
69,78,82
77,73,85
75,74,83
70,78,78
77,90,88
79,94,96
74,90,97
79,94,97
83,96,88
92,103,87
97,99,93
100,96,102
97,93,99
91,95,84
88,100,78
88,100,88
88,96,103
95,92,101
90,92,92
84,88,82
81,84,82
82,85,89
85,88,93
79,85,84
72,80,73
77,86,76
72,78,77
71,75,80
63,68,69
52,59,52
66,74,64
61,66,64
62,65,69
56,66,66
55,59,60
55,55,55
50,55,53
27,42,38
32,50,43
43,50,43
46,37,33
51,42,38
37,41,35
25,40,32
29,41,35
40,41,37
42,37,36
43,41,40
49,54,53
50,51,47
50,38,38
48,29,32
35,27,27
37,40,31
35,31,20
47,30,21
48,33,30
43,37,42
31,27,38
28,16,28
41,24,33
35,33,33
18,29,26
22,28,27
29,24,26
21,42,40
23,39,32
28,36,29
45,47,48
42,39,54
31,32,46
40,54,53
28,50,38
19,40,31
31,41,48
26,23,45
35,26,47
42,35,42
27,31,26
24,35,27
19,34,30
37,25,31
45,35,41
39,32,37
16,14,14
8,12,7
23,33,21
30,43,27
11,27,9
20,36,18
30,44,26
24,35,15
32,39,18
47,49,29
45,43,25
50,43,28
61,52,39
36,36,22
28,32,13
23,32,11
35,45,28
29,36,31
26,28,38
41,38,54
34,26,43
38,29,39
45,33,39
50,36,40
57,45,51
48,41,46
40,38,37
37,47,31
21,35,11
24,31,18
27,34,21
28,35,22
27,33,22
32,40,29
40,48,38
34,41,34
36,43,36
30,36,31
8,13,11
18,23,22
22,26,27
24,27,31
15,18,23
0,2,7
26,29,34
62,58,34
51,45,32
42,32,32
43,33,33
38,35,27
35,42,29
29,48,33
14,34,22
32,41,31
36,34,24
33,28,19
19,25,20
10,28,27
23,44,41
22,34,22
33,34,14
19,32,8
38,42,36
37,34,36
34,32,24
35,36,16
32,32,18
30,30,30
23,25,25
38,47,34
36,46,29
34,38,32
35,31,36
30,25,27
25,22,18
31,26,27
28,20,31
48,26,15
51,39,27
38,42,30
30,45,31
26,44,31
21,34,26
26,32,31
39,40,44
39,34,43
41,29,41
49,32,43
56,33,41
38,20,21
35,29,22
30,41,25
25,48,26
57,41,24
42,42,28
23,40,36
26,46,51
14,26,32
25,28,26
32,34,15
40,42,20
38,35,21
47,35,41
41,28,42
19,21,29
17,35,28
30,47,34
44,41,36
67,44,49
34,50,32
